,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
7/6/2011,23113.9,21234.99,12626.02
7/7/2011,23285.01,21392.19,12719.49
7/8/2011,23170.98,21287.43,12657.2
7/11/2011,22893.74,21032.73,12505.76
7/12/2011,22785.95,20933.7,12446.88
7/13/2011,22867.83,21008.92,12491.61
7/14/2011,22768.08,20917.28,12437.12
7/15/2011,22846.08,20988.94,12479.73
7/18/2011,22679.29,20833.96,12385.16
7/19/2011,23049.67,21174.21,12587.42
7/20/2011,23028.53,21152.78,12571.91
7/21/2011,23307.87,21409.37,12724.41
7/22/2011,23228.64,21336.6,12681.16
7/25/2011,23066.79,21187.93,12592.8
7/26/2011,22899.18,21033.97,12501.3
7/27/2011,22535.13,20699.58,12302.55
7/28/2011,22420.76,20594.52,12240.11
7/29/2011,22243.31,20431.52,12143.24
8/1/2011,22223.63,20413.44,12132.49
8/2/2011,21736.61,19966.09,11866.62
8/3/2011,21797.35,20020.2,11896.44
8/4/2011,20857.85,19157.3,11383.68
8/5/2011,20969.48,19259.83,11444.61
8/8/2011,19816.27,18197.93,10809.85
8/9/2011,20604.38,18921.68,11239.77
8/10/2011,19668.07,18057.25,10719.94
8/11/2011,20450.76,18774.21,11143.31
8/12/2011,20681.47,18986,11269.02
8/15/2011,21073.99,19346.35,11482.9
8/16/2011,20934.94,19218.09,11405.93
8/17/2011,20967.97,19241.47,11410.21
8/18/2011,20196.85,18533.84,10990.58
8/19/2011,19879.05,18242.21,10817.65
8/22/2011,19947.06,18304.62,10854.65
8/23/2011,20538.98,18847.8,11176.76
8/24/2011,20803.51,19090.55,11320.71
8/25/2011,20489.47,18802.37,11149.82
8/26/2011,20745.06,19034.7,11284.54
8/29/2011,21213.31,19464.35,11539.25
8/30/2011,21263.36,19506.96,11559.95
8/31/2011,21362.06,19597.47,11613.53
9/1/2011,21141.41,19395.05,11493.57
9/2/2011,20675.46,18967.59,11240.26
9/5/2011,20675.46,18967.59,11240.26
9/6/2011,20489.75,18797.22,11139.3
9/7/2011,21002.48,19265.98,11414.86
9/8/2011,20783.43,19065.05,11295.81
9/9/2011,20224.69,18552.5,10992.13
9/12/2011,20353.3,18670.01,11061.12
9/13/2011,20447.49,18753.15,11105.85
9/14/2011,20706.88,18991.04,11246.73
9/15/2011,21052.28,19307.24,11433.18
9/16/2011,21192.06,19435.43,11509.09
9/19/2011,20993.05,19252.92,11401.01
9/20/2011,21007.13,19265.83,11408.66
9/21/2011,20484.53,18786.55,11124.84
9/22/2011,19764.54,18126.24,10733.83
9/23/2011,19833.87,18189.82,10771.48
9/26/2011,20335.42,18649.8,11043.86
9/27/2011,20605.78,18897.74,11190.69
9/28/2011,20278.71,18596.69,11010.9
9/29/2011,20542.22,18838.34,11153.98
9/30/2011,20099.11,18431.99,10913.38
10/3/2011,19623.81,17996.11,10655.3
10/4/2011,19910.72,18258.02,10808.71
10/5/2011,20168.15,18489.76,10939.95
10/6/2011,20506.22,18799.7,11123.33
10/7/2011,20468.96,18765.55,11103.12
10/10/2011,21077.43,19323.38,11433.18
10/11/2011,21046.32,19294.85,11416.3
10/12/2011,21235.37,19468.17,11518.85
10/13/2011,21160.31,19399.36,11478.13
10/14/2011,21466.98,19680.51,11644.49
10/17/2011,21010.74,19262.23,11397
10/18/2011,21342.67,19566.54,11577.05
10/19/2011,21216.42,19448.8,11504.62
10/20/2011,21291.4,19515.75,11541.78
10/21/2011,21783.96,19967.24,11808.79
10/24/2011,21977.32,20144.48,11913.62
10/25/2011,21595.48,19794.48,11706.62
10/26/2011,21895.09,20069.1,11869.04
10/27/2011,22521.4,20643.18,12208.55
10/28/2011,22563.01,20681.32,12231.11
10/31/2011,22053.69,20214.48,11955.01
11/1/2011,21505.7,19712.19,11657.96
11/2/2011,21834.64,20013.58,11836.04
11/3/2011,22222.13,20367.93,12044.47
11/4/2011,22109.17,20264.39,11983.24
11/7/2011,22266.26,20408.38,12068.39
11/8/2011,22480.01,20597.15,12170.18
11/9/2011,21761.03,19938.39,11780.94
11/10/2011,21975.26,20133.08,11893.79
11/11/2011,22455.45,20573.02,12153.68
11/14/2011,22317.43,20446.58,12078.98
11/15/2011,22351.97,20477.45,12096.16
11/16/2011,22017.6,20166.23,11905.59
11/17/2011,21768.18,19937.79,11770.73
11/18/2011,21815.21,19980.86,11796.16
11/21/2011,21355,19559.35,11547.31
11/22/2011,21263.57,19473.5,11493.72
11/23/2011,20826.66,19073.37,11257.55
11/24/2011,20826.66,19073.37,11257.55
11/25/2011,20786.95,19034.81,11231.78
11/28/2011,21325.93,19528.37,11523.01
11/29/2011,21406.83,19596.8,11555.63
11/30/2011,22314.79,20427.95,12045.68
12/1/2011,22267.26,20384.44,12020.03
12/2/2011,22266.14,20383.42,12019.42
12/5/2011,22411.39,20516.39,12097.83
12/6/2011,22508.28,20605.08,12150.13
12/7/2011,22604.85,20690.49,12196.37
12/8/2011,22236.64,20353.46,11997.7
12/9/2011,22582.41,20669.95,12184.26
12/12/2011,22282.21,20394.71,12021.39
12/13/2011,22164.9,20285.73,11954.94
12/14/2011,21929.49,20067.99,11823.48
12/15/2011,22013.58,20144.94,11868.81
12/16/2011,22009.08,20140.83,11866.39
12/19/2011,21823.37,19970.88,11766.26
12/20/2011,22449.01,20543.42,12103.58
12/21/2011,22456.73,20550.48,12107.74
12/22/2011,22573.96,20657.1,12169.65
12/23/2011,22804.61,20868.17,12294
12/26/2011,22804.61,20868.17,12294
12/27/2011,22799.7,20863.67,12291.35
12/28/2011,22544.15,20628.71,12151.41
12/29/2011,22795.77,20858.95,12287.04
12/30/2011,22666.87,20741.01,12217.56
1/2/2012,22666.87,20741.01,12217.56
1/3/2012,23001.35,21046.83,12397.38
1/4/2012,23046.43,21086.42,12418.42
1/5/2012,23041.38,21081.8,12415.7
1/6/2012,22951.01,20995.51,12359.92
1/9/2012,23011.86,21051.17,12392.69
1/10/2012,23141.44,21169.71,12462.47
1/11/2012,23117.27,21147.6,12449.45
1/12/2012,23157.32,21184.24,12471.02
1/13/2012,23066.39,21101.06,12422.06
1/16/2012,23066.39,21101.06,12422.06
1/17/2012,23177.84,21203.01,12482.07
1/18/2012,23371.68,21376.5,12578.95
1/19/2012,23455.35,21453.03,12623.98
1/20/2012,23634.64,21617.01,12720.48
1/23/2012,23612.98,21597.21,12708.82
1/24/2012,23551.53,21541,12675.75
1/25/2012,23702.42,21679,12756.96
1/26/2012,23660.93,21641.06,12734.63
1/27/2012,23523.13,21515.02,12660.46
1/30/2012,23510.61,21503.57,12653.72
1/31/2012,23471.94,21468.2,12632.91
2/1/2012,23630.73,21612.46,12716.46
2/2/2012,23610.19,21593.68,12705.41
2/3/2012,23904.59,21862.11,12862.23
2/6/2012,23872.8,21833.04,12845.13
2/7/2012,23934.27,21889.26,12878.2
2/8/2012,23968.34,21914,12883.95
2/9/2012,23980.45,21925.07,12890.46
2/10/2012,23814.45,21773.3,12801.23
2/13/2012,23955.7,21900.85,12874.04
2/14/2012,23966.41,21909.87,12878.28
2/15/2012,23811.59,21761.11,12780.95
2/16/2012,24041,21970.76,12904.08
2/17/2012,24126.3,22048.72,12949.87
2/20/2012,24126.3,22048.72,12949.87
2/21/2012,24155.77,22075.66,12965.69
2/22/2012,24105.44,22029.65,12938.67
2/23/2012,24193.57,22109.54,12984.69
2/24/2012,24198.37,22111.72,12982.95
2/27/2012,24195.69,22109.27,12981.51
2/28/2012,24249.6,22155.81,13005.12
2/29/2012,24150.81,22065.52,12952.07
3/1/2012,24203.45,22113.61,12980.3
3/2/2012,24198.37,22108.97,12977.57
3/5/2012,24170.85,22083.83,12962.81
3/6/2012,23795.12,21739.44,12759.15
3/7/2012,23946.75,21876.37,12837.33
3/8/2012,24084.11,22000.31,12907.94
3/9/2012,24110.38,22024.3,12922.02
3/12/2012,24182.4,22089.63,12959.71
3/13/2012,24602.48,22469.7,13177.68
3/14/2012,24633.15,22497.7,13194.1
3/15/2012,24742.65,22597.71,13252.76
3/16/2012,24705.07,22563.39,13232.62
3/19/2012,24717.22,22574.48,13239.13
3/20/2012,24588.5,22456.92,13170.19
3/21/2012,24503.43,22379.23,13124.62
3/22/2012,24356.91,22245.41,13046.14
3/23/2012,24421.48,22304.38,13080.73
3/26/2012,24721.88,22578.74,13241.63
3/27/2012,24639.93,22503.89,13197.73
3/28/2012,24510.48,22384.55,13126.21
3/29/2012,24547.08,22417.98,13145.82
3/30/2012,24670.74,22530.91,13212.04
4/2/2012,24768.67,22620.35,13264.49
4/3/2012,24655.58,22514.83,13199.55
4/4/2012,24422.46,22301.95,13074.75
4/5/2012,24408.46,22285.52,13060.14
4/6/2012,24408.46,22285.52,13060.14
4/9/2012,24164.46,22062.75,12929.59
4/10/2012,23765.16,21698.17,12715.93
4/11/2012,23932.35,21850.82,12805.39
4/12/2012,24270.97,22159.99,12986.58
4/13/2012,24014.95,21926.24,12849.59
4/16/2012,24149.18,22048.8,12921.41
4/17/2012,24512,22380.06,13115.54
4/18/2012,24357.25,22238.77,13032.75
4/19/2012,24235.43,22125.78,12964.1
4/20/2012,24357.25,22236.99,13029.26
4/23/2012,24166.39,22062.74,12927.17
4/24/2012,24305.47,22189.71,13001.56
4/25/2012,24480.15,22346.99,13090.72
4/26/2012,24693.15,22541.43,13204.62
4/27/2012,24737.45,22581.87,13228.31
4/30/2012,24709.99,22556.81,13213.63
5/1/2012,24832.84,22668.95,13279.32
5/2/2012,24812.74,22650.61,13268.57
5/3/2012,24699.79,22546.68,13206.59
5/4/2012,24384.99,22259.32,13038.27
5/7/2012,24329.36,22208.54,13008.53
5/8/2012,24198.36,22085.69,12932.09
5/9/2012,24031.68,21929.49,12835.06
5/10/2012,24077.61,21969.06,12855.04
5/11/2012,24019.19,21914.1,12820.6
5/14/2012,23784.53,21700,12695.35
5/15/2012,23668.67,21593.52,12632
5/16/2012,23633.89,21554.15,12598.55
5/17/2012,23341.13,21287.16,12442.49
5/18/2012,23203.98,21162.08,12369.38
5/21/2012,23457.41,21393.2,12504.48
5/22/2012,23454.29,21390.35,12502.81
5/23/2012,23441.79,21378.96,12496.15
5/24/2012,23513.52,21441.99,12529.75
5/25/2012,23372.91,21313.77,12454.83
5/28/2012,23372.91,21313.77,12454.83
5/29/2012,23613.26,21531.81,12580.69
5/30/2012,23311.54,21256.65,12419.86
5/31/2012,23271.89,21217.78,12393.45
6/1/2012,22755.73,20747.18,12118.57
6/4/2012,22723.61,20717.89,12101.46
6/5/2012,22773.35,20763.24,12127.95
6/6/2012,23318.66,21258.59,12414.79
6/7/2012,23405.37,21337.64,12460.96
6/8/2012,23580.51,21497.31,12554.2
6/11/2012,23313.83,21253.68,12411.23
6/12/2012,23619.21,21532.07,12573.8
6/13/2012,23486.92,21407.87,12496.38
6/14/2012,23779.24,21674.32,12651.91
6/15/2012,23995.88,21871.78,12767.17
6/18/2012,23948.22,21828.35,12741.82
6/19/2012,24127.74,21991.97,12837.33
6/20/2012,24103.42,21969.8,12824.39
6/21/2012,23634.38,21541.64,12573.57
6/22/2012,23760.71,21656.78,12640.78
6/25/2012,23501.08,21420.14,12502.66
6/26/2012,23561.26,21474.99,12534.67
6/27/2012,23738.97,21635.83,12627.01
6/28/2012,23692.45,21593.42,12602.26
6/29/2012,24214.78,22069.48,12880.09
7/2/2012,24199.55,22055.29,12871.39
7/3/2012,24342.88,22183.97,12943.82
7/4/2012,,22183.97,
7/5/2012,24254.21,22103.16,12896.67
7/6/2012,24033.9,21898.76,12772.47
7/9/2012,23965.82,21836.73,12736.29
7/10/2012,23809.31,21694.12,12653.12
7/11/2012,23717.88,21610.82,12604.53
7/12/2012,23659.07,21557.23,12573.27
7/13/2012,24042.58,21906.67,12777.09
7/16/2012,23948.73,21821.16,12727.21
7/17/2012,24096.13,21955.46,12805.54
7/18/2012,24305.78,22142.24,12908.7
7/19/2012,24371.05,22201.7,12943.36
7/20/2012,24143.61,21994.5,12822.57
7/23/2012,23953.23,21821.07,12721.46
7/24/2012,23757.14,21642.43,12617.32
7/25/2012,23867.73,21743.17,12676.05
7/26/2012,24266.67,22106.6,12887.93
7/27/2012,24620.15,22428.62,13075.66
7/30/2012,24615.16,22424.08,13073.01
7/31/2012,24494.03,22313.73,13008.68
8/1/2012,24426.76,22251.47,12971.06
8/2/2012,24253.16,22093.34,12878.88
8/3/2012,24665.61,22468.17,13096.17
8/6/2012,24705.81,22504.78,13117.51
8/7/2012,24802.03,22592.43,13168.6
8/8/2012,24833.09,22615.85,13175.64
8/9/2012,24821.53,22603.11,13165.19
8/10/2012,24902.15,22676.52,13207.95
8/13/2012,24835.78,22614.38,13169.43
8/14/2012,24843.82,22620.89,13172.14
8/15/2012,24857.34,22625.72,13164.78
8/16/2012,25018.46,22772.37,13250.11
8/17/2012,25065.83,22815.48,13275.2
8/20/2012,25059.1,22809.36,13271.64
8/21/2012,24930.59,22692.39,13203.58
8/22/2012,24881.01,22644.91,13172.76
8/23/2012,24663.24,22446.71,13057.46
8/24/2012,24862.07,22625.21,13157.97
8/27/2012,24799.16,22567.96,13124.67
8/28/2012,24762.43,22533.38,13102.99
8/29/2012,24770.91,22541.1,13107.48
8/30/2012,24579.29,22363.95,13000.71
8/31/2012,24749.69,22518.99,13090.84
9/4/2012,24645.89,22424.55,13035.94
9/5/2012,24667.85,22444.49,13047.48
9/6/2012,25137.03,22869.51,13292
9/7/2012,25164.7,22894.68,13306.64
9/10/2012,25067.64,22805.85,13254.29
9/11/2012,25198.27,22924.69,13323.36
9/12/2012,25220.9,22944.26,13333.35
9/13/2012,25617.77,23303.6,13539.86
9/14/2012,25719,23395.69,13593.37
9/17/2012,25647.06,23329.09,13553.1
9/18/2012,25668.89,23348.95,13564.64
9/19/2012,25694.09,23371.87,13577.96
9/20/2012,25732.49,23406.12,13596.93
9/21/2012,25699.44,23376.06,13579.47
9/24/2012,25660.56,23340.7,13558.92
9/25/2012,25468.72,23166.2,13457.55
9/26/2012,25385.37,23090.38,13413.51
9/27/2012,25522.49,23215.11,13485.97
9/28/2012,25430.06,23131.03,13437.13
10/1/2012,25577.65,23265.28,13515.11
10/2/2012,25517.69,23210.19,13482.36
10/3/2012,25548.15,23235.91,13494.61
10/4/2012,25701.03,23374.95,13575.36
10/5/2012,25780.82,23443.72,13610.15
10/8/2012,25730.63,23398.08,13583.65
10/9/2012,25522.03,23208.39,13473.53
10/10/2012,25278.52,22986.95,13344.97
10/11/2012,25243.31,22954.94,13326.39
10/12/2012,25247.97,22959.17,13328.85
10/15/2012,25428.64,23123.46,13424.23
10/16/2012,25670.26,23343.18,13551.78
10/17/2012,25688.34,23357.38,13557
10/18/2012,25680.62,23348.31,13548.94
10/19/2012,25291.25,22994.3,13343.51
10/22/2012,25295.77,22998.4,13345.89
10/23/2012,24834.49,22579.02,13102.53
10/24/2012,24786.75,22535.62,13077.34
10/25/2012,24836.68,22581.01,13103.68
10/26/2012,24843.37,22587.1,13107.21
10/31/2012,24823.43,22568.85,13096.46
11/1/2012,25081.51,22803.48,13232.62
11/2/2012,24817.17,22563.16,13093.16
11/5/2012,24856.99,22598.46,13112.44
11/6/2012,25109.57,22828.09,13245.68
11/7/2012,24545.93,22307.59,12932.73
11/8/2012,24315.49,22098.16,12811.32
11/9/2012,24323.22,22105.18,12815.39
11/12/2012,24322.64,22104.65,12815.08
11/13/2012,24220.42,22009.15,12756.18
11/14/2012,23889.36,21702.68,12570.95
11/15/2012,23835.07,21653.36,12542.38
11/16/2012,23922.34,21732.64,12588.31
11/19/2012,24316.96,22091.14,12795.96
11/20/2012,24311.41,22083.75,12788.51
11/21/2012,24403.39,22167.3,12836.89
11/23/2012,24740.89,22471.42,13009.68
11/26/2012,24660.42,22398.33,12967.37
11/27/2012,24496.96,22248.16,12878.13
11/28/2012,24704.21,22435.36,12985.11
11/29/2012,24785.33,22505.96,13021.82
11/30/2012,24792.49,22512.46,13025.58
12/3/2012,24678.33,22408.8,12965.6
12/4/2012,24652.02,22384.91,12951.78
12/5/2012,24815.44,22531.67,13034.49
12/6/2012,24908.5,22611.32,13074.04
12/7/2012,25066.13,22753.56,13155.13
12/10/2012,25096.16,22780.29,13169.88
12/11/2012,25245.86,22916.18,13248.44
12/12/2012,25240.16,22911,13245.45
12/13/2012,25104.03,22785.73,13170.72
12/14/2012,25035.96,22723.95,13135.01
12/17/2012,25227.27,22897.6,13235.39
12/18/2012,25447.57,23097.55,13350.96
12/19/2012,25258.89,22926.3,13251.97
12/20/2012,25383.22,23036.29,13311.72
12/21/2012,25152.73,22827.12,13190.84
12/24/2012,25054.03,22737.54,13139.08
12/26/2012,25007.31,22695.15,13114.59
12/27/2012,24972.46,22663.52,13096.31
12/28/2012,24670.8,22389.75,12938.11
12/31/2012,24987.4,22677.07,13104.14
1/2/2013,25582.98,23215.55,13412.55
1/3/2013,25542.55,23178.86,13391.36
1/4/2013,25626.19,23254.76,13435.21
1/7/2013,25529.08,23166.63,13384.29
1/8/2013,25437.41,23079.61,13328.85
1/9/2013,25555.09,23186.39,13390.51
1/10/2013,25709.13,23326.14,13471.22
1/11/2013,25741.96,23355.93,13488.43
1/14/2013,25778.01,23388.64,13507.32
1/15/2013,25830.63,23436.38,13534.89
1/16/2013,25793.71,23400.65,13511.23
1/17/2013,25955.56,23547.49,13596.02
1/18/2013,26058.04,23640.46,13649.7
1/22/2013,26177.38,23748.72,13712.21
1/23/2013,26305.51,23864.97,13779.33
1/24/2013,26393.33,23944.64,13825.33
1/25/2013,26528.21,24067,13895.98
1/28/2013,26501.38,24042.66,13881.93
1/29/2013,26639.78,24168.22,13954.42
1/30/2013,26559.28,24094.24,13910.42
1/31/2013,26464.12,24007.91,13860.58
2/1/2013,26749.01,24266.36,14009.79
2/4/2013,26501.36,24041.69,13880.08
2/5/2013,26694.13,24215.66,13979.3
2/6/2013,26720.83,24236.37,13986.52
2/7/2013,26648.04,24168.07,13944.05
2/8/2013,26741.52,24252.86,13992.97
2/11/2013,26699.99,24215.19,13971.24
2/12/2013,26790.69,24297.45,14018.7
2/13/2013,26766.07,24263.2,13982.91
2/14/2013,26747.84,24246.67,13973.39
2/15/2013,26763.86,24261.2,13981.76
2/19/2013,26870.45,24356.9,14035.67
2/20/2013,26663.45,24169.26,13927.54
2/21/2013,26576.4,24089.6,13880.62
2/22/2013,26815.12,24303.52,14000.57
2/25/2013,26400.63,23927.85,13784.17
2/26/2013,26622.73,24129.15,13900.13
2/27/2013,26970,24440.73,14075.37
2/28/2013,26929.98,24404.46,14054.49
3/1/2013,26997.37,24465.54,14089.66
3/4/2013,27070.51,24531.81,14127.82
3/5/2013,27311.83,24750.5,14253.77
3/6/2013,27399.99,24828.55,14296.24
3/7/2013,27463.72,24886.3,14329.49
3/8/2013,27600.2,25008.08,14397.07
3/11/2013,27698.43,25096.56,14447.29
3/12/2013,27709.48,25105,14450.06
3/13/2013,27733.09,25122.7,14455.28
3/14/2013,27893.98,25268.44,14539.14
3/15/2013,27845.95,25224.93,14514.11
3/18/2013,27726.9,25117.09,14452.06
3/19/2013,27734.12,25123.63,14455.82
3/20/2013,27841.38,25220.79,14511.73
3/21/2013,27668.26,25063.97,14421.49
3/22/2013,27841.97,25221.33,14512.03
3/25/2013,27718.65,25109.62,14447.75
3/26/2013,27933.32,25304.08,14559.65
3/27/2013,27869.08,25245.89,14526.16
3/28/2013,27969.56,25336.91,14578.54
4/1/2013,27958.66,25327.03,14572.85
4/2/2013,28129.72,25481.99,14662.01
4/3/2013,27922.8,25292.57,14550.35
4/4/2013,28032.31,25391.08,14606.11
4/5/2013,27953.9,25320.05,14565.25
4/8/2013,28060.74,25412.94,14613.48
4/9/2013,28175.91,25517.24,14673.46
4/10/2013,28423.2,25741.2,14802.24
4/11/2013,28543.97,25850.58,14865.14
4/12/2013,28543.82,25850.44,14865.06
4/15/2013,28033.31,25388.1,14599.2
4/16/2013,28335.9,25662.14,14756.78
4/17/2013,28070.54,25421.82,14618.59
4/18/2013,27921.79,25285.03,14537.14
4/19/2013,27941.7,25303.06,14547.51
4/22/2013,27979.46,25337.26,14567.17
4/23/2013,28271.96,25602.13,14719.46
4/24/2013,28197.91,25532.67,14676.3
4/25/2013,28244.98,25575.29,14700.8
4/26/2013,28267.55,25595.73,14712.55
4/29/2013,28471.61,25780.51,14818.75
4/30/2013,28512.04,25817.11,14839.8
5/1/2013,28245.27,25575.56,14700.95
5/2/2013,28496.25,25802.82,14831.58
5/3/2013,28773.16,26052.64,14973.96
5/6/2013,28763.42,26043.82,14968.89
5/7/2013,28931.21,26195.74,15056.2
5/8/2013,29057,26301,15105.12
5/9/2013,29023.45,26267.99,15082.62
5/10/2013,29092.46,26330.45,15118.49
5/13/2013,29047.53,26287.98,15091.68
5/14/2013,29288.78,26505.38,15215.25
5/15/2013,29427.92,26625.11,15275.69
5/16/2013,29346.11,26551.09,15233.22
5/17/2013,29579.57,26762.31,15354.4
5/20/2013,29542.73,26728.98,15335.28
5/21/2013,29643.48,26820.13,15387.58
5/22/2013,29497.93,26685.91,15307.17
5/23/2013,29483.27,26670,15294.5
5/24/2013,29499.85,26685,15303.1
5/28/2013,29704.74,26870.33,15409.39
5/29/2013,29499.26,26684.46,15302.8
5/30/2013,29552.58,26729.59,15324.53
5/31/2013,29149.61,26365.11,15115.57
6/3/2013,29416.62,26606.62,15254.03
6/4/2013,29274.87,26476.85,15177.54
6/5/2013,28856.56,26098.48,14960.59
6/6/2013,29018.35,26242.79,15040.62
6/7/2013,29418.69,26604.84,15248.12
6/10/2013,29402.47,26589.58,15238.59
6/11/2013,29177.54,26386.17,15122.02
6/12/2013,28937.02,26167.55,14995.23
6/13/2013,29296.67,26489.89,15176.08
6/14/2013,29092.24,26305.04,15070.18
6/17/2013,29303.94,26496.46,15179.85
6/18/2013,29571.08,26738.01,15318.23
6/19/2013,29173.33,26378.36,15112.19
6/20/2013,28492.95,25762.41,14758.32
6/21/2013,28572.27,25834.13,14799.4
6/24/2013,28302.28,25590.02,14659.56
6/25/2013,28496.8,25765.9,14760.31
6/26/2013,28786.06,26027.44,14910.14
6/27/2013,29006.83,26227.05,15024.49
6/28/2013,28785.03,26026.5,14909.6
7/1/2013,28913.73,26142.19,14974.96
7/2/2013,28840.61,26073.63,14932.41
7/3/2013,28949.03,26171.65,14988.55
7/5/2013,29233.52,26428.84,15135.84
7/8/2013,29419.53,26593.1,15224.69
7/9/2013,29565.7,26725.23,15300.34
7/10/2013,29548.93,26710.07,15291.66
7/11/2013,29876,27005.71,15460.92
7/12/2013,29882.53,27011.61,15464.3
7/15/2013,29921.11,27046.49,15484.26
7/16/2013,29858.49,26989.88,15451.85
7/17/2013,29903.49,27028.14,15470.52
7/18/2013,30063.26,27170.11,15548.54
7/19/2013,30053.98,27161.73,15543.74
7/22/2013,30057.47,27164.88,15545.55
7/23/2013,30100.38,27203.66,15567.74
7/24/2013,30051.08,27159.11,15542.24
7/25/2013,30076.92,27182.46,15555.61
7/26/2013,30083.15,27188.1,15558.83
7/29/2013,30011.88,27123.68,15521.97
7/30/2013,30009.21,27121.27,15520.59
7/31/2013,29972.08,27086.75,15499.54
8/1/2013,30220.53,27311.28,15628.02
8/2/2013,30279.19,27364.29,15658.36
8/5/2013,30193.12,27285.6,15612.13
8/6/2013,30012.52,27122.4,15518.74
8/7/2013,29948.22,27056.51,15470.67
8/8/2013,30001.74,27104.86,15498.32
8/9/2013,29870.14,26983.44,15425.51
8/12/2013,29858.83,26973.23,15419.68
8/13/2013,29929.64,27034.44,15451.01
8/14/2013,29717.98,26841.11,15337.66
8/15/2013,29295.78,26455.81,15112.19
8/16/2013,29236.23,26402.03,15081.47
8/19/2013,29099.12,26278.21,15010.74
8/20/2013,29084.08,26264.63,15002.99
8/21/2013,28889.07,26085.98,14897.55
8/22/2013,29017.44,26201.9,14963.74
8/23/2013,29117.99,26290.02,15010.51
8/26/2013,28993.75,26177.85,14946.46
8/27/2013,28663.34,25879.52,14776.13
8/28/2013,28757.19,25964.26,14824.51
8/29/2013,28800.56,26000.3,14840.95
8/30/2013,28741.09,25946.62,14810.31
9/3/2013,28792.82,25991.74,14833.96
9/4/2013,28981.08,26161.64,14930.87
9/5/2013,28993.9,26173.22,14937.48
9/6/2013,28972.28,26151.68,14922.5
9/9/2013,29247.47,26399.49,15063.12
9/10/2013,29495.89,26623.72,15191.06
9/11/2013,29763.28,26863.93,15326.6
9/12/2013,29723.45,26825.12,15300.64
9/13/2013,29869.95,26957.33,15376.06
9/16/2013,30100.59,27165.48,15494.78
9/17/2013,30168.46,27226.74,15529.73
9/18/2013,30454.45,27484.84,15676.94
9/19/2013,30378.81,27415.81,15636.55
9/20/2013,30018.49,27090.64,15451.09
9/23/2013,29921.92,27003.49,15401.38
9/24/2013,29792.17,26886.38,15334.59
9/25/2013,29673.02,26778.85,15273.26
9/26/2013,29779.94,26875.35,15328.3
9/27/2013,29643.82,26752.51,15258.24
9/30/2013,29394.04,26527.09,15129.67
10/1/2013,29516.69,26637.2,15191.7
10/2/2013,29410.48,26539.3,15133.14
10/3/2013,29144.89,26299.64,14996.48
10/4/2013,29292.79,26433.09,15072.58
10/7/2013,29027.82,26194,14936.24
10/8/2013,28729.53,25921.55,14776.53
10/9/2013,28780.97,25967.96,14802.98
10/10/2013,29409.14,26534.74,15126.07
10/11/2013,29625.03,26729.52,15237.11
10/14/2013,29749.76,26842.06,15301.26
10/15/2013,29490.68,26608.3,15168.01
10/16/2013,29898.36,26974.11,15373.83
10/17/2013,29901.61,26975.01,15371.65
10/18/2013,29956.08,27024.14,15399.65
10/21/2013,29941.59,27011.07,15392.2
10/22/2013,30088.37,27143.49,15467.66
10/23/2013,29982.69,27048.15,15413.33
10/24/2013,30169.2,27216.4,15509.21
10/25/2013,30288,27323.58,15570.28
10/28/2013,30285.37,27321.21,15568.93
10/29/2013,30502.12,27516.74,15680.35
10/30/2013,30382.31,27408.66,15618.76
10/31/2013,30240.28,27280.53,15545.75
11/1/2013,30376.07,27403.03,15615.55
11/4/2013,30421.91,27444.39,15639.12
11/5/2013,30384.06,27409.48,15618.22
11/6/2013,30655.3,27648.5,15746.88
11/7/2013,30365.5,27384.99,15593.98
11/8/2013,30692.26,27679.68,15761.78
11/11/2013,30733.78,27717.12,15783.1
11/12/2013,30670.63,27660.17,15750.67
11/13/2013,30826.82,27796.16,15821.63
11/14/2013,30945.69,27899.96,15876.22
11/15/2013,31112.29,28050.17,15961.7
11/18/2013,31140.21,28075.33,15976.02
11/19/2013,31126.19,28061.75,15967.03
11/20/2013,31005.07,27950.4,15900.82
11/21/2013,31217.95,28142.3,16009.99
11/22/2013,31333.02,28243.81,16064.77
11/25/2013,31348.18,28257.47,16072.54
11/26/2013,31348.68,28257.92,16072.8
11/27/2013,31417.07,28314.01,16097.33
11/29/2013,31395.76,28294.81,16086.41
12/2/2013,31244.23,28158.25,16008.77
12/3/2013,31065.37,27995.73,15914.62
12/4/2013,31026.26,27957.95,15889.77
12/5/2013,30892.97,27837.83,15821.51
12/6/2013,31287.21,28191.39,16020.2
12/9/2013,31297.62,28200.77,16025.53
12/10/2013,31195.28,28108.55,15973.13
12/11/2013,30942.18,27880.5,15843.53
12/12/2013,30758.19,27709.49,15739.43
12/13/2013,30789.31,27737.53,15755.36
12/16/2013,31041.82,27965.01,15884.57
12/17/2013,31023.62,27948.62,15875.26
12/18/2013,31595.64,28463.94,16167.97
12/19/2013,31620.11,28485.24,16179.08
12/20/2013,31702.32,28559.3,16221.14
12/23/2013,31845.91,28688.65,16294.61
12/24/2013,31968.9,28799.45,16357.55
12/26/2013,32208,29014.84,16479.88
12/27/2013,32205.11,29012.24,16478.41
12/30/2013,32255.69,29057.81,16504.29
