,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
7/30/2007,21873.47,20779.31,13358.31
7/31/2007,21633.88,20551.71,13211.99
8/1/2007,21882.41,20787.16,13362.37
8/2/2007,22054.99,20949.04,13463.33
8/3/2007,21595.45,20512.12,13181.91
8/6/2007,22065.41,20958.51,13468.78
8/7/2007,22123.61,21013.78,13504.3
8/8/2007,22389.19,21262.05,13657.86
8/9/2007,21759.02,20662.31,13270.68
8/10/2007,21707.98,20613.84,13239.54
8/13/2007,21707.98,20612.43,13236.53
8/14/2007,21368.8,20290,13028.92
8/15/2007,21104.56,20036.14,12861.47
8/16/2007,21082.15,20013.91,12845.78
8/17/2007,21465.03,20377.39,13079.08
8/20/2007,21534.41,20443.25,13121.35
8/21/2007,21484.38,20395.76,13090.86
8/22/2007,21729.26,20626.38,13236.13
8/23/2007,21728.86,20626,13235.88
8/24/2007,21969.19,20852.55,13378.87
8/27/2007,21876.02,20764.11,13322.13
8/28/2007,21418.71,20329.21,13041.85
8/29/2007,21825.09,20714.92,13289.29
8/30/2007,21742.05,20636.1,13238.73
8/31/2007,21937.5,20821.61,13357.74
9/3/2007,21937.5,20821.61,13357.74
9/4/2007,22087.15,20963.65,13448.86
9/5/2007,21859.32,20745.22,13305.47
9/6/2007,21954.41,20835.46,13363.35
9/7/2007,21543.75,20445.73,13113.38
9/10/2007,21568.59,20469,13127.85
9/11/2007,21865.21,20750.5,13308.39
9/12/2007,21852.25,20734.06,13291.65
9/13/2007,22071.29,20941.89,13424.88
9/14/2007,22100.29,20969.41,13442.52
9/17/2007,22036.01,20908.42,13403.42
9/18/2007,22588.36,21432.5,13739.39
9/19/2007,22713.58,21551.32,13815.56
9/20/2007,22636.99,21477.59,13766.7
9/21/2007,22724.95,21561.03,13820.19
9/24/2007,22624.43,21465.66,13759.06
9/25/2007,22656.64,21496.23,13778.65
9/26/2007,22820.25,21651.46,13878.15
9/27/2007,22877.46,21705.73,13912.94
9/28/2007,22848.99,21678.72,13895.63
10/1/2007,23164.57,21978.14,14087.55
10/2/2007,23098.41,21915.37,14047.31
10/3/2007,22975.13,21796.4,13968.05
10/4/2007,22985.43,21806.16,13974.31
10/5/2007,23146.82,21956.27,14066.01
10/8/2007,23110.16,21921.5,14043.73
10/9/2007,23308.94,22110.05,14164.53
10/10/2007,23167.68,21976.06,14078.69
10/11/2007,23063.08,21876.83,14015.12
10/12/2007,23191.36,21998.52,14093.08
10/15/2007,23013.18,21829.51,13984.8
10/16/2007,22894.93,21717.34,13912.94
10/17/2007,22866.03,21688.59,13892.54
10/18/2007,22864.96,21686.21,13888.96
10/19/2007,22260.88,21113.27,13522.02
10/22/2007,22334.89,21183.46,13566.97
10/23/2007,22514.74,21354.05,13676.23
10/24/2007,22513.14,21352.52,13675.25
10/25/2007,22507.65,21347.32,13671.92
10/26/2007,22729.53,21557.76,13806.7
10/29/2007,22834.18,21657.01,13870.26
10/30/2007,22706.11,21535.55,13792.47
10/31/2007,22934.84,21751.83,13930.01
11/1/2007,22345.64,21191.01,13567.87
11/2/2007,22390.49,21233.55,13595.1
11/5/2007,22306.84,21153.8,13543.4
11/6/2007,22500.44,21337.39,13660.94
11/7/2007,21924.11,20785.69,13300.02
11/8/2007,21868.5,20732.97,13266.29
11/9/2007,21500.01,20383.6,13042.74
11/12/2007,21409.02,20297.34,12987.55
11/13/2007,21963.54,20815.16,13307.09
11/14/2007,21845.56,20701.19,13231.01
11/15/2007,21645.85,20511.94,13110.05
11/16/2007,21759.42,20618.6,13176.79
11/19/2007,21398.86,20276.94,12958.44
11/20/2007,21490.7,20362.13,13010.14
11/21/2007,21141.99,20031.73,12799.04
11/22/2007,21141.99,20031.73,12799.04
11/23/2007,21448.02,20320.08,12980.88
11/26/2007,21055.69,19948.39,12743.44
11/27/2007,21414.02,20287,12958.44
11/28/2007,21965.7,20808.32,13289.45
